time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2016-01-14T06:18:04.610Z,38.8148346,-122.8125,2.77,1.38,md,21,89,0.008755,0.05,nc,nc72579766,2016-01-14T08:41:04.962Z,"6km NW of The Geysers, California",earthquake
2016-01-14T06:01:43.170Z,35.4066667,-117.8026667,7.3,2.41,ml,37,51,0.1224,0.14,ci,ci37295895,2016-01-14T07:16:48.957Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T05:55:35.520Z,5.7675,126.1584,102.79,4.5,mb,,103,5.106,0.83,us,us10004eei,2016-01-14T06:44:27.204Z,"58km ESE of Mangili, Philippines",earthquake
2016-01-14T05:50:00.000Z,61.5042,-146.319,7.3,2,ml,,,,0.88,ak,ak12460167,2016-01-14T06:17:13.827Z,"41km N of Valdez, Alaska",earthquake
2016-01-14T05:42:33.850Z,38.8193321,-122.8294983,2.22,0.9,md,14,65,0.00574,0.01,nc,nc72579751,2016-01-14T06:10:04.841Z,"7km NW of The Geysers, California",earthquake
2016-01-14T05:39:40.600Z,-16.216,-174.0909,147.04,5.1,mb,,47,10.067,0.76,us,us10004edy,2016-01-14T06:01:10.495Z,"46km SW of Hihifo, Tonga",earthquake
2016-01-14T05:36:56.090Z,38.7924995,-122.7296677,1.57,0.77,md,10,85,0.01032,0.03,nc,nc72579746,2016-01-14T05:58:04.803Z,"2km NE of The Geysers, California",earthquake
2016-01-14T05:26:46.000Z,61.6975,-150.6429,11.2,1.6,ml,,,,0.88,ak,ak12460064,2016-01-14T05:47:36.550Z,"32km W of Willow, Alaska",earthquake
2016-01-14T05:21:36.000Z,63.4799,-152.3543,0,1.7,ml,,,,0.67,ak,ak12460062,2016-01-14T05:47:35.878Z,"170km W of Cantwell, Alaska",earthquake
2016-01-14T05:19:41.160Z,33.3916667,-116.4286667,10.39,0.99,ml,38,50,0.1181,0.19,ci,ci37295887,2016-01-14T05:23:39.348Z,"16km NNW of Borrego Springs, California",earthquake
2016-01-14T05:19:08.860Z,33.3891667,-116.4128333,12.8,0.7,ml,22,142,0.1207,0.18,ci,ci37295879,2016-01-14T05:23:06.757Z,"15km NNW of Borrego Springs, California",earthquake
2016-01-14T05:15:28.000Z,63.044,-151.084,128.7,1.4,ml,,,,0.66,ak,ak12460061,2016-01-14T07:33:37.008Z,"94km NNW of Talkeetna, Alaska",earthquake
2016-01-14T05:15:22.060Z,11.3744,-85.6664,186.51,4.8,mb,,136,0.66,0.67,us,us10004eds,2016-01-14T05:42:29.519Z,"17km ESE of San Jorge, Nicaragua",earthquake
2016-01-14T05:08:02.000Z,63.6252,-146.1872,6.5,1.5,ml,,,,0.5,ak,ak12460055,2016-01-14T05:32:27.608Z,"51km SSW of Delta Junction, Alaska",earthquake
2016-01-14T05:03:00.030Z,35.3976667,-117.7996667,11.52,0.77,ml,11,142,0.1353,0.19,ci,ci37295871,2016-01-14T05:06:53.345Z,"15km W of Johannesburg, California",earthquake
2016-01-14T04:59:32.810Z,37.4313316,-118.668335,11.61,2.18,md,21,131,0.07045,0.04,nc,nc72579736,2016-01-14T09:13:04.483Z,"20km WNW of West Bishop, California",earthquake
2016-01-14T04:35:09.670Z,38.7745,-119.6045,1,1.7,ml,10,106.92,0.152,,nn,nn00526848,2016-01-14T04:36:42.031Z,"17km SE of Gardnerville Ranchos, Nevada",earthquake
2016-01-14T04:31:42.850Z,35.4076667,-117.8051667,7.63,1.8,ml,31,69,0.1234,0.15,ci,ci37295855,2016-01-14T04:42:58.820Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T04:31:16.000Z,62.0512,-150.5842,60.1,1.7,ml,,,,0.72,ak,ak12459942,2016-01-14T04:56:53.114Z,"39km SW of Talkeetna, Alaska",earthquake
2016-01-14T04:27:35.420Z,35.412,-117.8213333,5.16,0.88,ml,12,98,0.1321,0.15,ci,ci37295847,2016-01-14T04:31:08.297Z,"18km WNW of Johannesburg, California",earthquake
2016-01-14T04:26:55.130Z,35.4076667,-117.813,8.64,1.15,ml,15,82,0.1287,0.14,ci,ci37295839,2016-01-14T04:30:51.559Z,"17km WNW of Johannesburg, California",earthquake
2016-01-14T04:24:46.120Z,35.676,-97.415,6.5,2.3,ml,,36,0.094,0.3,us,us10004edb,2016-01-14T05:59:45.912Z,"6km ENE of Edmond, Oklahoma",earthquake
2016-01-14T04:23:58.860Z,35.4071655,-117.8095016,5.07,3.54,ml,84,36,0.1266,0.17,ci,ci37295831,2016-01-14T07:20:20.793Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T04:18:29.600Z,19.0725,-64.6548,30,2.6,Md,4,324,0.77075451,0.34,pr,pr16014005,2016-01-14T09:38:27.946Z,"72km N of Road Town, British Virgin Islands",earthquake
2016-01-14T04:17:38.390Z,38.8253326,-122.8089981,0.57,0.88,md,5,189,0.002109,0.01,nc,nc72579716,2016-01-14T04:37:05.592Z,"7km W of Cobb, California",earthquake
2016-01-14T04:17:11.000Z,18.9741,-64.6617,27,2.4,Md,4,324,0.67822804,0.27,pr,pr16014004,2016-01-14T09:12:03.143Z,"61km N of Road Town, British Virgin Islands",earthquake
2016-01-14T04:08:15.440Z,38.793335,-122.8093338,2.85,1.04,md,20,127,0.006998,0.02,nc,nc72579711,2016-01-14T04:25:04.555Z,"4km WNW of The Geysers, California",earthquake
2016-01-14T04:03:14.090Z,35.6742,-97.4128,6.53,2.8,mb_lg,,33,0.093,0.29,us,us10004edf,2016-01-14T08:27:14.249Z,"6km ENE of Edmond, Oklahoma",earthquake
2016-01-14T03:59:34.210Z,35.4085,-117.8088333,7.33,0.87,ml,14,103,0.1254,0.14,ci,ci37295823,2016-01-14T04:03:16.807Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T03:53:13.010Z,33.5226667,-116.4528333,7.46,0.66,ml,17,119,0.02268,0.21,ci,ci37295807,2016-01-14T03:57:08.332Z,"20km SW of La Quinta, California",earthquake
2016-01-14T03:53:12.490Z,34.0935,-117.4546667,2.6,0.91,ml,29,46,0.1195,0.16,ci,ci37295815,2016-01-14T03:57:40.833Z,"1km SE of Fontana, California",earthquake
2016-01-14T03:38:18.290Z,-8.6447,122.9296,157.42,5.1,mb,,53,0.684,0.91,us,us10004ec4,2016-01-14T04:13:18.854Z,"21km ESE of Watubuku, Indonesia",earthquake
2016-01-14T03:25:34.370Z,41.9519,142.7205,51.39,6.7,mwp,,37,0.329,1.22,us,us10004ebx,2016-01-14T10:35:02.711Z,"51km SE of Shizunai, Japan",earthquake
2016-01-14T03:25:28.170Z,-19.8265,-63.2851,582.44,6.1,mww,,18,5.527,1.49,us,us10004ebw,2016-01-14T05:36:52.200Z,"7km WSW of Charagua, Bolivia",earthquake
2016-01-14T03:25:09.520Z,35.4053333,-117.8118333,8.62,1.17,ml,19,82,0.1292,0.13,ci,ci37295791,2016-01-14T03:29:03.040Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T03:24:30.850Z,41.3858,69.2598,7.23,3,ml,,130,0.062,0.94,us,us10004ec6,2016-01-14T11:18:49.850Z,"10km W of Salor, Uzbekistan",earthquake
2016-01-14T03:22:26.330Z,33.7158333,-116.8125,17.41,0.93,ml,34,53,0.08387,0.23,ci,ci37295783,2016-01-14T03:26:29.117Z,"8km ESE of Valle Vista, California",earthquake
2016-01-14T03:20:37.485Z,36.6901,-116.0671,5.8,-0.2,ml,11,107.49,0.026,0.0673,nn,nn00526842,2016-01-14T03:32:22.175Z,"53km N of Pahrump, Nevada",earthquake
2016-01-14T03:06:14.000Z,60.0794,-140.6888,0.9,1.7,ml,,,,0.6,ak,ak12459801,2016-01-14T03:29:31.500Z,"80km NW of Yakutat, Alaska",earthquake
2016-01-14T02:51:33.530Z,38.8241653,-122.8071671,0.76,1.71,md,28,55,0.002397,0.03,nc,nc72579691,2016-01-14T03:16:06.903Z,"6km NW of The Geysers, California",earthquake
2016-01-14T02:40:01.000Z,35.4061667,-117.8108333,8.6,0.88,ml,15,103,0.1281,0.14,ci,ci37295775,2016-01-14T02:43:43.941Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T02:39:47.700Z,35.4148333,-117.8201667,4.51,0.84,ml,12,98,0.1486,0.17,ci,ci37295767,2016-01-14T02:43:26.577Z,"17km WNW of Johannesburg, California",earthquake
2016-01-14T02:38:24.670Z,36.7115,-116.4952,3.5,0.6,ml,10,117.33,0.236,,nn,nn00526835,2016-01-14T02:40:19.238Z,"32km SE of Beatty, Nevada",earthquake
2016-01-14T02:37:55.170Z,35.406,-117.8088333,6.89,2.22,ml,33,69,0.1268,0.16,ci,ci37295759,2016-01-14T03:36:41.544Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T02:03:23.000Z,65.1504,-148.4856,12.7,1,ml,,,,0.36,ak,ak12459791,2016-01-14T02:34:36.054Z,"40km NNW of Ester, Alaska",earthquake
2016-01-14T01:41:55.200Z,18.9913,-65.2058,24,3.1,Md,6,273.6,0.67822804,0.25,pr,pr16014003,2016-01-14T05:53:30.352Z,"76km N of Culebra, Puerto Rico",earthquake
2016-01-14T01:33:30.900Z,19.002,-65.1875,13,3.4,Md,12,248.4,0.68271962,0.34,pr,pr16014001,2016-01-14T01:54:48.397Z,"77km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2016-01-14T01:30:05.700Z,18.9878,-65.2285,29,2.7,Md,4,324,0.67822804,0.05,pr,pr16014000,2016-01-14T01:48:35.212Z,"76km N of Culebra, Puerto Rico",earthquake
2016-01-14T01:21:03.700Z,19.6165,-67.7519,59,3.4,Md,10,324,1.29357401,0.23,pr,pr16014002,2016-01-14T05:25:48.704Z,"133km NNE of Punta Cana, Dominican Republic",earthquake
2016-01-14T00:56:45.000Z,60.8479,-149.6944,31.2,1.7,ml,,,,0.36,ak,ak12459671,2016-01-14T01:12:35.092Z,"42km SSE of Anchorage, Alaska",earthquake
2016-01-14T00:54:01.430Z,35.402,-117.811,9.25,0.8,ml,13,104,0.1306,0.09,ci,ci37295751,2016-01-14T01:08:20.202Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T00:52:37.020Z,33.5918333,-116.8156667,8.71,1.44,ml,45,38,0.04308,0.12,ci,ci37295743,2016-01-14T01:06:27.740Z,"14km WNW of Anza, California",earthquake
2016-01-14T00:47:16.570Z,36.283165,-120.8583298,4.78,1.76,md,7,163,0.5036,0.36,nc,nc72579666,2016-01-14T02:05:06.669Z,"25km ENE of King City, California",earthquake
2016-01-14T00:44:55.000Z,61.8112,-149.5637,43.1,1.6,ml,,,,0.29,ak,ak12459598,2016-01-14T01:12:43.768Z,"18km WNW of Fishhook, Alaska",earthquake
2016-01-14T00:41:22.050Z,35.0381667,-117.6686667,0.29,1.62,ml,24,60,0.106,0.11,ci,ci37295735,2016-01-14T00:55:31.229Z,"5km NNW of Boron, California",quarry blast
2016-01-14T00:39:40.800Z,19.3448334,-155.0638275,6.49,1.88,md,34,195,0.05284,0.21,hv,hv61150756,2016-01-14T00:43:06.960Z,"18km S of Fern Acres, Hawaii",earthquake
2016-01-14T00:24:03.980Z,-10.0762,161.4971,93.51,4.5,mb,,112,1.653,0.95,us,us10004eah,2016-01-14T01:28:14.590Z,"62km NW of Kirakira, Solomon Islands",earthquake
2016-01-14T00:20:28.770Z,35.4036667,-117.8063333,8.34,1.32,ml,23,81,0.1266,0.1,ci,ci37295727,2016-01-14T00:59:05.840Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T00:18:49.020Z,35.4048333,-117.8071667,7.28,2.02,ml,33,51,0.1264,0.12,ci,ci37295719,2016-01-14T01:26:50.683Z,"16km WNW of Johannesburg, California",earthquake
2016-01-14T00:16:30.400Z,36.6725,-97.9639,1.9,2.5,mb_lg,,52,0.113,0.29,us,us10004ea5,2016-01-14T00:46:55.053Z,"25km SW of Medford, Oklahoma",earthquake
2016-01-14T00:14:25.870Z,38.7816658,-122.7238312,1.41,0.92,md,10,97,0.009844,0.03,nc,nc72579641,2016-01-14T00:58:05.239Z,"2km E of The Geysers, California",earthquake
2016-01-14T00:11:40.150Z,36.7856674,-120.8840027,1.89,1.28,md,6,157,0.07603,0.01,nc,nc72579631,2016-01-14T04:46:05.617Z,"28km SW of South Dos Palos, California",earthquake
2016-01-14T00:10:22.550Z,3.662,126.873,39.25,4.6,mb,,114,2.912,0.76,us,us10004ea4,2016-01-14T00:56:09.242Z,"248km NNW of Tobelo, Indonesia",earthquake
2016-01-14T00:05:15.000Z,64.9988,-147.3252,0.1,1.5,ml,,,,0.85,ak,ak12459527,2016-01-14T00:24:06.145Z,"24km NNE of Badger, Alaska",earthquake
2016-01-14T00:01:07.460Z,37.6513333,-118.9475,4.55,1.38,md,21,53,0.01591,0.06,nc,nc72579621,2016-01-14T05:14:04.707Z,"2km E of Mammoth Lakes, California",earthquake
2016-01-13T23:53:26.700Z,-5.9392,151.8201,35,4.6,mb,,145,1.77,1.25,us,us10004e9z,2016-01-14T01:16:07.873Z,"182km SSW of Kokopo, Papua New Guinea",earthquake
2016-01-13T23:40:03.000Z,63.27,-152.6634,8.1,1.5,ml,,,,0.48,ak,ak12459514,2016-01-13T23:55:13.919Z,"152km ENE of McGrath, Alaska",earthquake
2016-01-13T23:32:25.100Z,46.205,-119.7528333,0.015,1.46,ml,6,280,0.04646,0.41,uw,uw61102797,2016-01-14T00:04:01.540Z,"1km E of Prosser, Washington",explosion
2016-01-13T23:27:40.000Z,60.9387,-147.363,29.3,1.4,ml,,,,0.27,ak,ak12459510,2016-01-13T23:55:13.238Z,"58km WSW of Valdez, Alaska",earthquake
2016-01-13T23:27:17.100Z,19.3381672,-155.0613403,6.98,3.25,ml,57,182,0.05938,0.34,hv,hv61150661,2016-01-14T04:22:17.889Z,"19km S of Fern Acres, Hawaii",earthquake
2016-01-13T23:21:41.910Z,9.758,-79.2907,10,4,ml,,48,0.797,0.92,us,us10004e9t,2016-01-14T03:45:49.414Z,"38km NW of Tubuala, Panama",earthquake
2016-01-13T23:20:17.610Z,35.4046667,-117.8093333,8.14,0.84,ml,20,81,0.1279,0.12,ci,ci37295711,2016-01-14T00:17:49.093Z,"16km WNW of Johannesburg, California",earthquake
2016-01-13T23:17:27.510Z,35.4036667,-117.8078333,7.33,1.58,ml,32,69,0.1275,0.11,ci,ci37295703,2016-01-13T23:28:34.390Z,"16km WNW of Johannesburg, California",earthquake
2016-01-13T23:09:27.000Z,60.8047,-147.2078,17.4,1.1,ml,,,,0.58,ak,ak12459448,2016-01-14T00:09:50.336Z,"59km SW of Valdez, Alaska",earthquake
2016-01-13T22:55:27.880Z,38.8434982,-122.8303299,2.25,1.2,md,18,58,0.006344,0.01,nc,nc72579591,2016-01-14T03:15:05.900Z,"9km WNW of Cobb, California",earthquake
2016-01-13T22:45:39.000Z,61.1564,-145.9445,26.1,1.7,ml,,,,0.68,ak,ak12459438,2016-01-13T22:57:02.842Z,"21km E of Valdez, Alaska",earthquake
2016-01-13T22:45:24.600Z,18.8178,-67.496,72,3.1,Md,7,313.2,0.7465,0.28,pr,pr16013003,2016-01-13T23:28:13.729Z,"55km NW of San Antonio, Puerto Rico",earthquake
2016-01-13T22:38:54.400Z,18.975,-67.4425,18,3,Md,13,288,0.58839651,0.28,pr,pr16013002,2016-01-13T23:01:15.508Z,"64km NW of San Antonio, Puerto Rico",earthquake
2016-01-13T22:22:04.330Z,33.1905,-116.062,5.33,1.45,ml,42,51,0.1098,0.17,ci,ci37295695,2016-01-13T22:50:22.931Z,"8km NE of Ocotillo Wells, California",earthquake
2016-01-13T22:20:48.180Z,38.7994995,-122.7388306,0.56,0.91,md,10,91,0.01894,0.03,nc,nc72579581,2016-01-13T23:21:05.106Z,"2km SSW of Cobb, California",earthquake
2016-01-13T22:16:01.690Z,49.4151667,-120.4956667,0.02,2.4,ml,15,208,0.583,0.4,uw,uw61102792,2016-01-13T23:48:48.470Z,"4km SSE of Princeton, Canada",explosion
2016-01-13T22:11:15.750Z,38.8411674,-122.8258362,1.78,0.85,md,7,118,0.007964,0.01,nc,nc72579576,2016-01-13T22:57:07.052Z,"9km WNW of Cobb, California",earthquake
2016-01-13T22:04:46.170Z,38.7736664,-122.7354965,0.76,1.01,md,10,95,0.009605,0.04,nc,nc72579571,2016-01-14T00:28:05.091Z,"1km ESE of The Geysers, California",earthquake
2016-01-13T22:02:50.510Z,38.7956657,-122.7669983,1.33,0.28,md,8,110,0.01654,0.03,nc,nc72579566,2016-01-13T22:33:05.994Z,"2km NNW of The Geysers, California",earthquake
2016-01-13T22:00:25.780Z,33.6453333,-116.7133333,13.06,0.31,ml,17,75,0.04049,0.07,ci,ci37295687,2016-01-13T22:44:06.653Z,"10km S of Idyllwild, California",earthquake
2016-01-13T21:37:40.710Z,38.7231,73.1571,38.62,5,mb,,41,1.677,1.27,us,us10004e8c,2016-01-13T22:04:16.434Z,"46km SW of Karakul, Tajikistan",earthquake
2016-01-13T21:33:35.510Z,38.8563347,-122.8051682,-0.71,0.57,md,13,116,0.006438,0.37,nc,nc72579561,2016-01-13T22:36:04.000Z,"8km WNW of Cobb, California",earthquake
2016-01-13T21:18:14.700Z,42.2092,84.241,10,5.6,mb,,28,4.338,0.61,us,us10004e85,2016-01-14T03:56:38.000Z,"120km ENE of Kuqa, China",earthquake
2016-01-13T21:15:29.550Z,32.9398333,-115.7151667,10.13,1.62,ml,30,74,0.07143,0.3,ci,ci37295671,2016-01-13T21:48:37.545Z,"14km SW of Westmorland, California",earthquake
2016-01-13T21:10:47.230Z,46.1963333,-122.1881667,2.552,0.48,ml,8,131,0.00423,0.12,uw,uw61102782,2016-01-13T21:28:33.290Z,"37km NNE of Amboy, Washington",earthquake
2016-01-13T20:57:16.520Z,37.471,-119.845,26.75,2.18,md,12,152,0.09548,0.29,nc,nc72579546,2016-01-14T01:50:04.954Z,"10km E of Mariposa, California",earthquake
2016-01-13T20:53:19.060Z,35.741,-116.2833333,2.96,2.38,ml,17,64,0.1584,0.14,ci,ci37295663,2016-01-13T22:27:53.873Z,"13km SSW of Tecopa, California",earthquake
2016-01-13T20:52:44.730Z,37.4578333,-119.8353333,28.03,2.04,md,6,120,0.08223,0.16,nc,nc72579541,2016-01-14T01:35:11.607Z,"11km ESE of Mariposa, California",earthquake
2016-01-13T20:48:51.880Z,35.7791667,-117.615,7.91,0.69,ml,14,121,0.03917,0.13,ci,ci37295655,2016-01-13T21:41:00.095Z,"18km NNE of Ridgecrest, California",earthquake
2016-01-13T20:37:48.950Z,46.2725,-119.3978333,0.018,1.82,ml,7,229,0.03776,0.06,uw,uw61102777,2016-01-13T20:46:52.900Z,"4km SW of West Richland, Washington",explosion
2016-01-13T20:36:01.660Z,33.854,-117.4903333,-0.48,1.01,ml,50,51,0.05247,0.2,ci,ci37295647,2016-01-13T21:36:55.722Z,"4km SE of Home Gardens, California",quarry blast
2016-01-13T20:34:59.060Z,32.6435,91.5238,10,5.2,mb,,38,7.057,1.35,us,us10004e7h,2016-01-13T21:16:57.242Z,"36km NNW of Pagnag, China",earthquake
2016-01-13T20:25:48.590Z,38.8110008,-122.8228302,2.16,0.7,md,11,102,0.005397,0.02,nc,nc72579521,2016-01-13T21:22:04.780Z,"6km WNW of The Geysers, California",earthquake
2016-01-13T20:17:49.490Z,3.71,126.9074,54,4.4,mb,,139,2.954,0.76,us,us10004e73,2016-01-14T00:29:37.813Z,"246km SE of Sarangani, Philippines",earthquake
2016-01-13T20:07:09.740Z,33.7138333,-116.8065,16.81,0.77,ml,26,94,0.07885,0.14,ci,ci37295639,2016-01-13T21:26:15.885Z,"9km WSW of Idyllwild, California",earthquake
2016-01-13T20:00:44.200Z,36.0233333,-117.7726667,1.89,0.88,ml,13,125,0.006289,0.09,ci,ci37295631,2016-01-13T22:24:17.503Z,"15km NE of Little Lake, California",earthquake
2016-01-13T19:58:24.700Z,36.0238333,-117.7711667,1.88,0.67,ml,8,125,0.004981,0.06,ci,ci37295623,2016-01-13T22:21:32.488Z,"16km NE of Little Lake, California",earthquake
2016-01-13T19:53:19.680Z,46.9665,-122.2453333,0.016,1.12,ml,6,221,0.02716,0.22,uw,uw61102767,2016-01-13T20:03:07.380Z,"10km SSE of Graham, Washington",explosion
2016-01-13T19:45:08.110Z,38.7965012,-122.8059998,4.34,0.32,md,8,157,0.008478,0.05,nc,nc72579511,2016-01-13T19:46:41.200Z,"4km WNW of The Geysers, California",earthquake
2016-01-13T19:41:40.000Z,64.8596,-147.4776,8.8,0,ml,,,,0.29,ak,ak12459172,2016-01-14T00:09:49.706Z,"7km NNE of Badger, Alaska",earthquake
